Country Name,Country Code,Indicator Name,Indicator Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,21.94341729,15.35850696,-33.41356955,34.35289678,106.5935028,22.24584584,23.17575749,6.422113067,12.63838612,17.73826292,7.218158375,5.228676382,7.774640834,7.094592563,5.849193972,4.881155647,6.637357323,5.472621792,NA
Algeria,DZA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,6.299997087,7.500001877,6.300003649,1.699993192,6.000005168,5.89999677,-2.699997526,5.499999224,7.199998935,4.099998725,6.10000152,-2.4,-0.6,1.6,-3.0384077,NA,NA,NA,NA
American Samoa,ASM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,80.86994314,150.011292,94.97713567,58.87910027,83.92437982,26.67434092,32.11165961,39.25111984,-33.16045911,43.47933437,34.33328414,3.057117472,NA
Antigua and Barbuda,ATG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,22.52814467,7.646794886,12.17744078,10.62339318,-1.260278072,2.702391375,2.740990697,3.092955202,5.995368309,8.114157971,13.50441915,7.33138151,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-51.80000273,7.200004663,-6.500001546,-1.6,13.7,18.9,26.98949967,35.817053,29.06901362,-1.730033524,15.93896119,-7.339011524,-3.508289831,-13.07991605,-10.43576924,26.5,14.7,10.7,NA
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
