Country Name,Country Code,Indicator Name,Indicator Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07615212,-3.470294022,12.46673372,17.47530156,5.713021954,4.14675001,6.188024211,NA
Albania,ALB,Real interest rate (%),FR.INR.RINR,13.33357162,-3.473137178,NA,NA,16.40464818,17.04441268,15.65450881,11.62047244,10.53103129,5.4276951,9.283673745,10.73060028,11.83597173,8.296917496,10.00875383,9.049919573,9.15737728,7.650821886,NA
Algeria,DZA,Real interest rate (%),FR.INR.RINR,-7.902165918,-4.049207354,8.136645367,15.1040086,-0.095986891,-11.71614895,11.74289655,7.16824929,-0.18990781,-3.784155212,-6.997060823,-2.303728589,1.508201047,-6.705756287,21.68871779,-6.992747229,-8.486306542,2.246132217,NA
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,Real interest rate (%),FR.INR.RINR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Real interest rate (%),FR.INR.RINR,-84.65071154,-94.21995659,-29.11161789,7.155928155,-72.55504755,-60.79751921,-5.019293567,-18.61707946,6.073199892,30.43159654,32.25282461,5.72325482,4.513020891,-5.972515969,24.95206616,0.122267909,-4.356974057,11.84724446,NA
Antigua and Barbuda,ATG,Real interest rate (%),FR.INR.RINR,9.27880872,9.441066279,9.599122095,9.548329468,10.99571779,-2.43889124,9.445221656,10.60592341,14.20008043,10.21283242,6.779012259,10.52130178,6.64560458,5.667830986,3.854237759,11.01130055,14.14061652,9.368174192,NA
Argentina,ARG,Real interest rate (%),FR.INR.RINR,14.23111105,10.56874426,9.751652313,12.5543667,13.11746834,9.945071696,29.1202848,16.17980387,7.828852447,-2.237717528,-2.459778031,-4.231221084,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,Real interest rate (%),FR.INR.RINR,-18.87949071,39.10516828,30.99434939,34.1346116,38.77366744,33.39846306,21.73397423,18.33274692,15.5583255,11.59233052,14.28173191,11.37952804,12.74351141,42.03122587,15.80345155,10.60763579,12.91975789,18.75553641,NA
Aruba,ABW,Real interest rate (%),FR.INR.RINR,12.78231464,13.89328874,5.934309957,3.318126505,14.30669366,2.678992204,7.00013721,12.39020806,15.12711997,2.409749744,7.023680482,9.689643002,-1.293013965,-2.662309609,16.75879282,NA,NA,NA,NA
Australia,AUS,Real interest rate (%),FR.INR.RINR,8.326306618,7.666025572,7.523729158,6.883531302,7.577532191,6.504279037,3.7545818,5.194417764,5.212644541,5.378720338,5.127489306,4.203734017,3.079594674,4.251795719,0.943996718,6.336186659,1.701806639,4.716900628,NA
