"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/XOF","","","",""
"2011-12-31","462.5061",,,,
"2010-12-31","486.1760",,,,
"2009-12-31","462.8899",,,,
"2008-12-31","439.2573",,,,
"2007-12-31","466.1448",,,,
"2006-12-31","505.5541",,,,
"2005-12-31","522.6915",,,,
"2004-12-31","528.2289",,,,
"2003-12-31","579.4274",,,,
"2002-12-31","692.5881",,,,
"2001-12-31","728.8945",,,,
"2000-12-31","710.9963",,,,
"1999-12-31","614.3928",,,,
"1998-12-31","588.5709",,,,
"1997-12-31","578.0627",,,,
"1996-12-31","507.7970",,,,
"1995-12-31","489.2860",,,,
""
"Period Average","550.7920","","","",""
"Period Low","439.2573","","","",""
"Period High","728.8945","","","",""
