"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LTL","","","",""
"2011-12-31","2.4772",,,,
"2010-12-31","2.6002",,,,
"2009-12-31","2.4723",,,,
"2008-12-31","2.3422",,,,
"2007-12-31","2.5160",,,,
"2006-12-31","2.7469",,,,
"2005-12-31","2.7763",,,,
"2004-12-31","2.7779",,,,
"2003-12-31","3.0556",,,,
"2002-12-31","3.6696",,,,
"2001-12-31","3.9973",,,,
"2000-12-31","3.9993",,,,
"1999-12-31","4.0000",,,,
"1998-12-31","3.9994",,,,
"1997-12-31","3.9980",,,,
"1996-12-31","3.9971",,,,
"1995-12-31","3.9969",,,,
""
"Period Average","3.2601","","","",""
"Period Low","2.3422","","","",""
"Period High","4.0000","","","",""
