"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NPR","","","",""
"2011-12-31","73.4060",,,,
"2010-12-31","71.9392",,,,
"2009-12-31","76.2433",,,,
"2008-12-31","68.4983",,,,
"2007-12-31","64.4524",,,,
"2006-12-31","68.8622",,,,
"2005-12-31","67.5933",,,,
"2004-12-31","70.0320",,,,
"2003-12-31","72.8625",,,,
"2002-12-31","74.0470",,,,
"2001-12-31","74.1286",,,,
"2000-12-31","71.0059",,,,
"1999-12-31","67.8910",,,,
"1998-12-31","61.6212",,,,
"1997-12-31","56.9269",,,,
"1996-12-31","55.2020",,,,
"1995-12-31","50.4128",,,,
""
"Period Average","67.3603","","","",""
"Period Low","50.4128","","","",""
"Period High","76.2433","","","",""
