"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/INR","","","",""
"2011-12-31","46.8466",,,,
"2010-12-31","45.7152",,,,
"2009-12-31","48.4238",,,,
"2008-12-31","43.6193",,,,
"2007-12-31","41.3410",,,,
"2006-12-31","45.1769",,,,
"2005-12-31","43.9785",,,,
"2004-12-31","45.2015",,,,
"2003-12-31","46.5009",,,,
"2002-12-31","48.5112",,,,
"2001-12-31","47.1176",,,,
"2000-12-31","44.8635",,,,
"1999-12-31","43.0364",,,,
"1998-12-31","41.2306",,,,
"1997-12-31","36.2945",,,,
"1996-12-31","35.3799",,,,
"1995-12-31","32.4071",,,,
""
"Period Average","43.2732","","","",""
"Period Low","32.4071","","","",""
"Period High","48.5112","","","",""
