"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SRD","","","",""
"2011-12-31","3.2071",,,,
"2010-12-31","2.7118",,,,
"2009-12-31","2.7058",,,,
"2008-12-31","2.7000",,,,
"2007-12-31","2.7000",,,,
"2006-12-31","2.7000",,,,
"2005-12-31","2.5354",,,,
"2004-12-31","2.5024",,,,
"2003-12-31","2.4520",,,,
"2002-12-31","2.1711",,,,
"2001-12-31","1.1188",,,,
"2000-12-31","0.8365",,,,
"1999-12-31","0.6363",,,,
"1998-12-31","0.4010",,,,
"1997-12-31","0.4083",,,,
"1996-12-31","0.4380",,,,
"1995-12-31","0.4269",,,,
""
"Period Average","1.8030","","","",""
"Period Low","0.4010","","","",""
"Period High","3.2071","","","",""
