"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MWK","","","",""
"2011-12-31","154.7494",,,,
"2010-12-31","148.1809",,,,
"2009-12-31","138.6717",,,,
"2008-12-31","138.1213",,,,
"2007-12-31","136.1587",,,,
"2006-12-31","131.5098",,,,
"2005-12-31","115.1947",,,,
"2004-12-31","106.1148",,,,
"2003-12-31","94.1147",,,,
"2002-12-31","73.9563",,,,
"2001-12-31","68.7154",,,,
"2000-12-31","46.8290",,,,
"1999-12-31","43.7813",,,,
"1998-12-31","31.0533",,,,
"1997-12-31","16.1894",,,,
"1996-12-31","15.1820",,,,
"1995-12-31","6.0716",,,,
""
"Period Average","86.1526","","","",""
"Period Low","6.0716","","","",""
"Period High","154.7494","","","",""
