"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KRW","","","",""
"2011-12-31","1,105.7299",,,,
"2010-12-31","1,153.2649",,,,
"2009-12-31","1,272.6778",,,,
"2008-12-31","1,096.7425",,,,
"2007-12-31","922.8144",,,,
"2006-12-31","940.3339",,,,
"2005-12-31","1,021.1226",,,,
"2004-12-31","1,141.6298",,,,
"2003-12-31","1,187.5208",,,,
"2002-12-31","1,243.2929",,,,
"2001-12-31","1,287.5019",,,,
"2000-12-31","1,129.9440",,,,
"1999-12-31","1,188.8685",,,,
"1998-12-31","1,397.9110",,,,
"1997-12-31","952.7711",,,,
"1996-12-31","804.6291",,,,
"1995-12-31","771.2263",,,,
""
"Period Average","1,095.1754","","","",""
"Period Low","771.2263","","","",""
"Period High","1,397.9110","","","",""
