"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/JPY","","","",""
"2011-12-31","79.70",,,,
"2010-12-31","87.78",,,,
"2009-12-31","93.58",,,,
"2008-12-31","103.42",,,,
"2007-12-31","117.77",,,,
"2006-12-31","116.29",,,,
"2005-12-31","110.09",,,,
"2004-12-31","108.13",,,,
"2003-12-31","115.92",,,,
"2002-12-31","125.18",,,,
"2001-12-31","121.48",,,,
"2000-12-31","107.78",,,,
"1999-12-31","113.74",,,,
"1998-12-31","130.81",,,,
"1997-12-31","120.97",,,,
"1996-12-31","108.75",,,,
"1995-12-31","94.00",,,,
""
"Period Average","109.14","","","",""
"Period Low","79.70","","","",""
"Period High","130.81","","","",""
