"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/HTG","","","",""
"2011-12-31","39.6147",,,,
"2010-12-31","39.0556",,,,
"2009-12-31","39.0487",,,,
"2008-12-31","37.8068",,,,
"2007-12-31","35.1266",,,,
"2006-12-31","38.0160",,,,
"2005-12-31","37.8830",,,,
"2004-12-31","35.7230",,,,
"2003-12-31","39.1071",,,,
"2002-12-31","27.9136",,,,
"2001-12-31","23.8273",,,,
"2000-12-31","20.3702",,,,
"1999-12-31","16.8080",,,,
"1998-12-31","16.9482",,,,
"1997-12-31","16.1403",,,,
"1996-12-31","16.2771",,,,
"1995-12-31","19.0000",,,,
""
"Period Average","29.3333","","","",""
"Period Low","16.1403","","","",""
"Period High","39.6147","","","",""
