"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GNF","","","",""
"2011-12-31","6,833.7079",,,,
"2010-12-31","5,545.3963",,,,
"2009-12-31","4,840.7778",,,,
"2008-12-31","4,553.8250",,,,
"2007-12-31","4,386.7539",,,,
"2006-12-31","4,873.4248",,,,
"2005-12-31","3,508.2250",,,,
"2004-12-31","2,204.0415",,,,
"2003-12-31","1,931.5630",,,,
"2002-12-31","1,903.5844",,,,
"2001-12-31","1,901.8416",,,,
"2000-12-31","1,672.4590",,,,
"1999-12-31","1,335.7850",,,,
"1998-12-31","1,224.6094",,,,
"1997-12-31","1,069.0388",,,,
"1996-12-31","993.2650",,,,
"1995-12-31","1,008.4886",,,,
""
"Period Average","2,928.6345","","","",""
"Period Low","993.2650","","","",""
"Period High","6,833.7079","","","",""
