"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/RUB","","","",""
"2011-12-31","29.3303",,,,
"2010-12-31","30.3087",,,,
"2009-12-31","31.6268",,,,
"2008-12-31","24.8484",,,,
"2007-12-31","25.5727",,,,
"2006-12-31","27.1813",,,,
"2005-12-31","28.2824",,,,
"2004-12-31","28.8039",,,,
"2003-12-31","30.6791",,,,
"2002-12-31","31.3799",,,,
"2001-12-31","29.1753",,,,
"2000-12-31","28.1343",,,,
"1999-12-31","24.8259",,,,
"1998-12-31","10.0183",,,,
"1997-12-31","5,784.8540",,,,
"1996-12-31","5,131.6175",,,,
"1995-12-31","4,575.1571",,,,
""
"Period Average","933.6351","","","",""
"Period Low","10.0183","","","",""
"Period High","5,784.8540","","","",""
