"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/GBP","","","",""
"2011-12-31","0.6235",,,,
"2010-12-31","0.6473",,,,
"2009-12-31","0.6409",,,,
"2008-12-31","0.5447",,,,
"2007-12-31","0.4997",,,,
"2006-12-31","0.5434",,,,
"2005-12-31","0.5499",,,,
"2004-12-31","0.5459",,,,
"2003-12-31","0.6120",,,,
"2002-12-31","0.6661",,,,
"2001-12-31","0.6940",,,,
"2000-12-31","0.6605",,,,
"1999-12-31","0.6183",,,,
"1998-12-31","0.6034",,,,
"1997-12-31","0.6103",,,,
"1996-12-31","0.6407",,,,
"1995-12-31","0.6335",,,,
""
"Period Average","0.6079","","","",""
"Period Low","0.4997","","","",""
"Period High","0.6940","","","",""
