"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ARS","","","",""
"2011-12-31","4.1213",,,,
"2010-12-31","3.9009",,,,
"2009-12-31","3.7194",,,,
"2008-12-31","3.1512",,,,
"2007-12-31","3.1082",,,,
"2006-12-31","3.0561",,,,
"2005-12-31","2.9151",,,,
"2004-12-31","2.9234",,,,
"2003-12-31","2.9372",,,,
"2002-12-31","3.0943",,,,
"2001-12-31","0.9993",,,,
"2000-12-31","0.9996",,,,
"1999-12-31","0.9998",,,,
"1998-12-31","0.9997",,,,
"1997-12-31","0.9998",,,,
"1996-12-31","0.9998",,,,
"1995-12-31","0.9999",,,,
""
"Period Average","2.3486","","","",""
"Period Low","0.9993","","","",""
"Period High","4.1213","","","",""
