"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LSL","","","",""
"2011-12-31","7.1595",,,,
"2010-12-31","7.2171",,,,
"2009-12-31","8.3267",,,,
"2008-12-31","8.1452",,,,
"2007-12-31","6.9354",,,,
"2006-12-31","6.6250",,,,
"2005-12-31","6.2607",,,,
"2004-12-31","6.4422",,,,
"2003-12-31","7.5373",,,,
"2002-12-31","9.2616",,,,
"2001-12-31","6.2300",,,,
"2000-12-31","6.2300",,,,
"1999-12-31","6.1965",,,,
"1998-12-31","5.4963",,,,
"1997-12-31","4.6041",,,,
"1996-12-31","4.2951",,,,
"1995-12-31","3.6520",,,,
""
"Period Average","6.5067","","","",""
"Period Low","3.6520","","","",""
"Period High","9.2616","","","",""
