"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TZS","","","",""
"2011-12-31","1,563.3540",,,,
"2010-12-31","1,419.5625",,,,
"2009-12-31","1,303.7238",,,,
"2008-12-31","1,177.7949",,,,
"2007-12-31","1,212.2403",,,,
"2006-12-31","1,216.3108",,,,
"2005-12-31","1,100.4081",,,,
"2004-12-31","1,063.5669",,,,
"2003-12-31","1,010.7743",,,,
"2002-12-31","936.4154",,,,
"2001-12-31","865.8200",,,,
"2000-12-31","794.8825",,,,
"1999-12-31","736.9007",,,,
"1998-12-31","650.9404",,,,
"1997-12-31","604.8907",,,,
"1996-12-31","593.4317",,,,
"1995-12-31","559.4795",,,,
""
"Period Average","988.8527","","","",""
"Period Low","559.4795","","","",""
"Period High","1,563.3540","","","",""
