"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SAR","","","",""
"2011-12-31","3.7488",,,,
"2010-12-31","3.7444",,,,
"2009-12-31","3.7467",,,,
"2008-12-31","3.7462",,,,
"2007-12-31","3.7448",,,,
"2006-12-31","3.7497",,,,
"2005-12-31","3.7501",,,,
"2004-12-31","3.7496",,,,
"2003-12-31","3.7499",,,,
"2002-12-31","3.7500",,,,
"2001-12-31","3.7501",,,,
"2000-12-31","3.7504",,,,
"1999-12-31","3.7502",,,,
"1998-12-31","3.7506",,,,
"1997-12-31","3.7503",,,,
"1996-12-31","3.7503",,,,
"1995-12-31","3.7503",,,,
""
"Period Average","3.7490","","","",""
"Period Low","3.7444","","","",""
"Period High","3.7506","","","",""
