"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MUR","","","",""
"2011-12-31","27.6461",,,,
"2010-12-31","29.6968",,,,
"2009-12-31","30.8321",,,,
"2008-12-31","27.5272",,,,
"2007-12-31","30.9749",,,,
"2006-12-31","31.3482",,,,
"2005-12-31","29.1074",,,,
"2004-12-31","27.2156",,,,
"2003-12-31","27.7220",,,,
"2002-12-31","29.6690",,,,
"2001-12-31","28.9115",,,,
"2000-12-31","26.0168",,,,
"1999-12-31","25.0991",,,,
"1998-12-31","23.9064",,,,
"1997-12-31","20.9756",,,,
"1996-12-31","19.6330",,,,
"1995-12-31","17.7255",,,,
""
"Period Average","26.7063","","","",""
"Period Low","17.7255","","","",""
"Period High","31.3482","","","",""
