"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BDT","","","",""
"2011-12-31","72.7645",,,,
"2010-12-31","68.3501",,,,
"2009-12-31","67.6755",,,,
"2008-12-31","67.3307",,,,
"2007-12-31","67.1142",,,,
"2006-12-31","66.3636",,,,
"2005-12-31","63.5046",,,,
"2004-12-31","57.6613",,,,
"2003-12-31","56.5155",,,,
"2002-12-31","55.3842",,,,
"2001-12-31","55.1774",,,,
"2000-12-31","51.9782",,,,
"1999-12-31","48.8940",,,,
"1998-12-31","46.7543",,,,
"1997-12-31","43.7956",,,,
"1996-12-31","41.6982",,,,
"1995-12-31","40.6289",,,,
""
"Period Average","57.1524","","","",""
"Period Low","40.6289","","","",""
"Period High","72.7645","","","",""
