"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MZN","","","",""
"2011-12-31","28.7260",,,,
"2010-12-31","32.9163",,,,
"2009-12-31","26.7393",,,,
"2008-12-31","24.0429",,,,
"2007-12-31","25.4557",,,,
"2006-12-31","25.7388",,,,
"2005-12-31","22.6936",,,,
"2004-12-31","22.0304",,,,
"2003-12-31","23.1699",,,,
"2002-12-31","23.0682",,,,
"2001-12-31","20.1126",,,,
"2000-12-31","15.1855",,,,
"1999-12-31","12.4850",,,,
"1998-12-31","11.7767",,,,
"1997-12-31","11.2795",,,,
"1996-12-31","10.2485",,,,
"1995-12-31","4.9150",,,,
""
"Period Average","20.0344","","","",""
"Period Low","4.9150","","","",""
"Period High","32.9163","","","",""
