"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SCR","","","",""
"2011-12-31","11.6830",,,,
"2010-12-31","10.9321",,,,
"2009-12-31","13.3820",,,,
"2008-12-31","9.1964",,,,
"2007-12-31","6.6426",,,,
"2006-12-31","5.3531",,,,
"2005-12-31","5.2712",,,,
"2004-12-31","5.2029",,,,
"2003-12-31","5.3255",,,,
"2002-12-31","5.4412",,,,
"2001-12-31","5.8207",,,,
"2000-12-31","5.6933",,,,
"1999-12-31","5.3323",,,,
"1998-12-31","5.2555",,,,
"1997-12-31","5.0348",,,,
"1996-12-31","4.9703",,,,
"1995-12-31","4.9700",,,,
""
"Period Average","6.7945","","","",""
"Period Low","4.9700","","","",""
"Period High","13.3820","","","",""
