"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/VND","","","",""
"2011-12-31","20,453.6496",,,,
"2010-12-31","18,921.2652",,,,
"2009-12-31","17,489.9803",,,,
"2008-12-31","16,179.0413",,,,
"2007-12-31","15,738.3164",,,,
"2006-12-31","15,542.3099",,,,
"2005-12-31","15,745.4836",,,,
"2004-12-31","15,296.7077",,,,
"2003-12-31","14,951.0329",,,,
"2002-12-31","14,596.5288",,,,
"2001-12-31","14,602.3589",,,,
"2000-12-31","14,163.6033",,,,
"1999-12-31","13,940.5630",,,,
"1998-12-31","13,261.1370",,,,
"1997-12-31","11,696.8384",,,,
"1996-12-31","11,029.9303",,,,
"1995-12-31","11,031.2851",,,,
""
"Period Average","14,978.8254","","","",""
"Period Low","11,029.9303","","","",""
"Period High","20,453.6496","","","",""
