"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/DZD","","","",""
"2011-12-31","72.4343",,,,
"2010-12-31","72.3278",,,,
"2009-12-31","70.9040",,,,
"2008-12-31","63.3369",,,,
"2007-12-31","68.8129",,,,
"2006-12-31","70.5393",,,,
"2005-12-31","71.1633",,,,
"2004-12-31","69.2749",,,,
"2003-12-31","74.5918",,,,
"2002-12-31","76.4865",,,,
"2001-12-31","73.9975",,,,
"2000-12-31","72.2005",,,,
"1999-12-31","66.4938",,,,
"1998-12-31","58.7067",,,,
"1997-12-31","57.7007",,,,
"1996-12-31","54.7268",,,,
"1995-12-31","28.4035",,,,
""
"Period Average","66.0059","","","",""
"Period Low","28.4035","","","",""
"Period High","76.4865","","","",""
