"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/XPF","","","",""
"2011-12-31","84.6442",,,,
"2010-12-31","88.6233",,,,
"2009-12-31","84.0606",,,,
"2008-12-31","79.8400",,,,
"2007-12-31","84.7402",,,,
"2006-12-31","91.8775",,,,
"2005-12-31","95.9261",,,,
"2004-12-31","96.1116",,,,
"2003-12-31","105.3812",,,,
"2002-12-31","126.6117",,,,
"2001-12-31","133.2835",,,,
"2000-12-31","126.3885",,,,
"1999-12-31","123.4037",,,,
""
"Period Average","101.6071","","","",""
"Period Low","79.8400","","","",""
"Period High","133.2835","","","",""
