"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/RWF","","","",""
"2011-12-31","590.2859",,,,
"2010-12-31","573.3099",,,,
"2009-12-31","557.8530",,,,
"2008-12-31","536.2440",,,,
"2007-12-31","531.4908",,,,
"2006-12-31","528.1348",,,,
""
"Period Average","552.8864","","","",""
"Period Low","528.1348","","","",""
"Period High","590.2859","","","",""
