"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/UYU","","","",""
"2011-12-31","18.8222",,,,
"2010-12-31","19.5828",,,,
"2009-12-31","22.1922",,,,
"2008-12-31","20.4376",,,,
"2007-12-31","22.7478",,,,
"2006-12-31","23.0678",,,,
"2005-12-31","24.4093",,,,
"2004-12-31","28.6936",,,,
"2003-12-31","28.2428",,,,
"2002-12-31","21.3178",,,,
"2001-12-31","12.8380",,,,
"2000-12-31","11.3850",,,,
"1999-12-31","11.2132",,,,
"1998-12-31","10.4054",,,,
"1997-12-31","9.3923",,,,
"1996-12-31","7.9218",,,,
"1995-12-31","6.2915",,,,
""
"Period Average","17.5859","","","",""
"Period Low","6.2915","","","",""
"Period High","28.6936","","","",""
