"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/NZD","","","",""
"2011-12-31","1.2645",,,,
"2010-12-31","1.3871",,,,
"2009-12-31","1.5974",,,,
"2008-12-31","1.4236",,,,
"2007-12-31","1.3604",,,,
"2006-12-31","1.5413",,,,
"2005-12-31","1.4195",,,,
"2004-12-31","1.5079",,,,
"2003-12-31","1.7213",,,,
"2002-12-31","2.1591",,,,
"2001-12-31","2.3759",,,,
"2000-12-31","2.1984",,,,
"1999-12-31","1.8894",,,,
"1998-12-31","1.8666",,,,
"1997-12-31","1.5132",,,,
"1996-12-31","1.4536",,,,
"1995-12-31","1.5232",,,,
""
"Period Average","1.6590","","","",""
"Period Low","1.2645","","","",""
"Period High","2.3759","","","",""
