"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SEK","","","",""
"2011-12-31","6.4873",,,,
"2010-12-31","7.1998",,,,
"2009-12-31","7.6426",,,,
"2008-12-31","6.5867",,,,
"2007-12-31","6.7539",,,,
"2006-12-31","7.3726",,,,
"2005-12-31","7.4694",,,,
"2004-12-31","7.3438",,,,
"2003-12-31","8.0761",,,,
"2002-12-31","9.7153",,,,
"2001-12-31","10.3265",,,,
"2000-12-31","9.1596",,,,
"1999-12-31","8.2629",,,,
"1998-12-31","7.9452",,,,
"1997-12-31","7.6300",,,,
"1996-12-31","6.7031",,,,
"1995-12-31","7.1310",,,,
""
"Period Average","7.7533","","","",""
"Period Low","6.4873","","","",""
"Period High","10.3265","","","",""
