"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MRO","","","",""
"2011-12-31","277.4320",,,,
"2010-12-31","271.5596",,,,
"2009-12-31","257.3361",,,,
"2008-12-31","237.5894",,,,
"2007-12-31","253.2614",,,,
"2006-12-31","260.8373",,,,
"2005-12-31","261.9752",,,,
"2004-12-31","249.8743",,,,
"2003-12-31","256.1640",,,,
"2002-12-31","263.8583",,,,
"2001-12-31","251.8437",,,,
"2000-12-31","237.3456",,,,
"1999-12-31","211.5902",,,,
"1998-12-31","186.6168",,,,
"1997-12-31","150.8257",,,,
"1996-12-31","136.1955",,,,
"1995-12-31","129.0673",,,,
""
"Period Average","229.0219","","","",""
"Period Low","129.0673","","","",""
"Period High","277.4320","","","",""
