"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KPW","","","",""
"2011-12-31","135.0000",,,,
"2010-12-31","135.0000",,,,
"2009-12-31","139.5753",,,,
"2008-12-31","140.0000",,,,
"2007-12-31","140.0000",,,,
"2006-12-31","141.0000",,,,
"2005-12-31","170.0000",,,,
"2004-12-31","16.4126",,,,
"2003-12-31","2.2000",,,,
"2002-12-31","2.2000",,,,
"2001-12-31","2.2000",,,,
"2000-12-31","2.2000",,,,
"1999-12-31","2.2000",,,,
"1998-12-31","2.2000",,,,
"1997-12-31","2.1815",,,,
"1996-12-31","2.1500",,,,
"1995-12-31","2.1500",,,,
""
"Period Average","60.9806","","","",""
"Period Low","2.1500","","","",""
"Period High","170.0000","","","",""
