"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ISK","","","",""
"2011-12-31","115.7234",,,,
"2010-12-31","124.2766",,,,
"2009-12-31","122.8043",,,,
"2008-12-31","86.9456",,,,
"2007-12-31","63.8992",,,,
"2006-12-31","69.7131",,,,
"2005-12-31","62.7784",,,,
"2004-12-31","70.0961",,,,
"2003-12-31","76.5115",,,,
"2002-12-31","91.3818",,,,
"2001-12-31","97.5641",,,,
"2000-12-31","78.8126",,,,
"1999-12-31","72.3735",,,,
"1998-12-31","71.1084",,,,
"1997-12-31","70.7943",,,,
"1996-12-31","66.5032",,,,
"1995-12-31","64.8526",,,,
""
"Period Average","82.7140","","","",""
"Period Low","62.7784","","","",""
"Period High","124.2766","","","",""
