"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CNY","","","",""
"2011-12-31","6.4544",,,,
"2010-12-31","6.7605",,,,
"2009-12-31","6.8212",,,,
"2008-12-31","6.9403",,,,
"2007-12-31","7.5972",,,,
"2006-12-31","7.9646",,,,
"2005-12-31","8.1838",,,,
"2004-12-31","8.2664",,,,
"2003-12-31","8.2671",,,,
"2002-12-31","8.2669",,,,
"2001-12-31","8.2743",,,,
"2000-12-31","8.2784",,,,
"1999-12-31","8.2761",,,,
"1998-12-31","8.2789",,,,
"1997-12-31","8.2898",,,,
"1996-12-31","8.3142",,,,
"1995-12-31","8.3505",,,,
""
"Period Average","7.8579","","","",""
"Period Low","6.4544","","","",""
"Period High","8.3505","","","",""
