"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/FKP","","","",""
"2011-12-31","0.6235",,,,
"2010-12-31","0.6474",,,,
"2009-12-31","0.6410",,,,
"2008-12-31","0.5448",,,,
"2007-12-31","0.4998",,,,
"2006-12-31","0.5713",,,,
"2005-12-31","0.5885",,,,
"2004-12-31","0.5885",,,,
"2003-12-31","0.4424",,,,
"2002-12-31","0.4881",,,,
"2001-12-31","0.6933",,,,
"2000-12-31","0.6583",,,,
"1999-12-31","0.6170",,,,
"1998-12-31","0.6024",,,,
"1997-12-31","0.6121",,,,
"1996-12-31","0.6418",,,,
"1995-12-31","0.6247",,,,
""
"Period Average","0.5932","","","",""
"Period Low","0.4424","","","",""
"Period High","0.6933","","","",""
