"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AZN","","","",""
"2011-12-31","0.7892",,,,
"2010-12-31","0.8022",,,,
"2009-12-31","0.8038",,,,
"2008-12-31","0.8215",,,,
"2007-12-31","0.8985",,,,
"2006-12-31","0.9140",,,,
""
"Period Average","0.8382","","","",""
"Period Low","0.7892","","","",""
"Period High","0.9140","","","",""
