"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BBD","","","",""
"2011-12-31","1.9611",,,,
"2010-12-31","1.9628",,,,
"2009-12-31","1.9565",,,,
"2008-12-31","1.9700",,,,
"2007-12-31","1.9700",,,,
"2006-12-31","1.9612",,,,
"2005-12-31","1.9657",,,,
"2004-12-31","1.9895",,,,
"2003-12-31","1.9870",,,,
"2002-12-31","1.9899",,,,
"2001-12-31","1.9901",,,,
"2000-12-31","1.9914",,,,
"1999-12-31","1.9846",,,,
"1998-12-31","2.0113",,,,
"1997-12-31","2.0113",,,,
"1996-12-31","2.0113",,,,
"1995-12-31","2.0113",,,,
""
"Period Average","1.9838","","","",""
"Period Low","1.9565","","","",""
"Period High","2.0113","","","",""
