"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KWD","","","",""
"2011-12-31","0.2759",,,,
"2010-12-31","0.2857",,,,
"2009-12-31","0.2869",,,,
"2008-12-31","0.2676",,,,
"2007-12-31","0.2831",,,,
"2006-12-31","0.2890",,,,
"2005-12-31","0.2916",,,,
"2004-12-31","0.2940",,,,
"2003-12-31","0.2969",,,,
"2002-12-31","0.3036",,,,
"2001-12-31","0.3063",,,,
"2000-12-31","0.3068",,,,
"1999-12-31","0.3043",,,,
"1998-12-31","0.3047",,,,
"1997-12-31","0.3033",,,,
"1996-12-31","0.2994",,,,
"1995-12-31","0.2984",,,,
""
"Period Average","0.2940","","","",""
"Period Low","0.2676","","","",""
"Period High","0.3068","","","",""
