"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ZAR","","","",""
"2011-12-31","7.2312",,,,
"2010-12-31","7.3005",,,,
"2009-12-31","8.4008",,,,
"2008-12-31","8.2322",,,,
"2007-12-31","7.0308",,,,
"2006-12-31","6.7505",,,,
"2005-12-31","6.3427",,,,
"2004-12-31","6.4228",,,,
"2003-12-31","7.5346",,,,
"2002-12-31","10.4852",,,,
"2001-12-31","8.6011",,,,
"2000-12-31","6.9339",,,,
"1999-12-31","6.1069",,,,
"1998-12-31","5.5340",,,,
"1997-12-31","4.6072",,,,
"1996-12-31","4.2962",,,,
"1995-12-31","3.6270",,,,
""
"Period Average","6.7904","","","",""
"Period Low","3.6270","","","",""
"Period High","10.4852","","","",""
