"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TTD","","","",""
"2011-12-31","6.2724",,,,
"2010-12-31","6.2313",,,,
"2009-12-31","6.1409",,,,
"2008-12-31","6.0667",,,,
"2007-12-31","6.1500",,,,
"2006-12-31","6.1896",,,,
"2005-12-31","6.2437",,,,
"2004-12-31","6.1869",,,,
"2003-12-31","6.1467",,,,
"2002-12-31","6.1037",,,,
"2001-12-31","6.1495",,,,
"2000-12-31","6.2316",,,,
"1999-12-31","6.2035",,,,
"1998-12-31","6.2279",,,,
"1997-12-31","6.1392",,,,
"1996-12-31","5.7881",,,,
"1995-12-31","5.6991",,,,
""
"Period Average","6.1277","","","",""
"Period Low","5.6991","","","",""
"Period High","6.2724","","","",""
