"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LYD","","","",""
"2011-12-31","1.2069",,,,
"2010-12-31","1.2496",,,,
"2009-12-31","1.2302",,,,
"2008-12-31","1.1992",,,,
"2007-12-31","1.2263",,,,
"2006-12-31","1.2487",,,,
"2005-12-31","1.2546",,,,
"2004-12-31","1.2941",,,,
"2003-12-31","1.2198",,,,
"2002-12-31","1.1866",,,,
"2001-12-31","0.5829",,,,
"2000-12-31","0.5019",,,,
"1999-12-31","0.4568",,,,
"1998-12-31","0.3591",,,,
"1997-12-31","0.3555",,,,
"1996-12-31","0.3555",,,,
"1995-12-31","0.3555",,,,
""
"Period Average","0.8990","","","",""
"Period Low","0.3555","","","",""
"Period High","1.2941","","","",""
