"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CHF","","","",""
"2011-12-31","0.8866",,,,
"2010-12-31","1.0429",,,,
"2009-12-31","1.0852",,,,
"2008-12-31","1.0826",,,,
"2007-12-31","1.1999",,,,
"2006-12-31","1.2531",,,,
"2005-12-31","1.2453",,,,
"2004-12-31","1.2424",,,,
"2003-12-31","1.3445",,,,
"2002-12-31","1.5556",,,,
"2001-12-31","1.6864",,,,
"2000-12-31","1.6875",,,,
"1999-12-31","1.5024",,,,
"1998-12-31","1.4490",,,,
"1997-12-31","1.4496",,,,
"1996-12-31","1.2357",,,,
"1995-12-31","1.1813",,,,
""
"Period Average","1.3018","","","",""
"Period Low","0.8866","","","",""
"Period High","1.6875","","","",""
