"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PYG","","","",""
"2011-12-31","4,100.6554",,,,
"2010-12-31","4,660.6833",,,,
"2009-12-31","4,886.2491",,,,
"2008-12-31","4,256.6646",,,,
"2007-12-31","4,880.6885",,,,
"2006-12-31","5,436.4480",,,,
"2005-12-31","6,100.6559",,,,
"2004-12-31","5,861.7978",,,,
"2003-12-31","6,361.4386",,,,
"2002-12-31","5,574.0490",,,,
"2001-12-31","4,058.7937",,,,
"2000-12-31","3,485.4508",,,,
"1999-12-31","3,113.6164",,,,
"1998-12-31","2,691.5589",,,,
"1997-12-31","2,165.2055",,,,
"1996-12-31","2,038.6298",,,,
"1995-12-31","1,793.0000",,,,
""
"Period Average","4,203.8580","","","",""
"Period Low","1,793.0000","","","",""
"Period High","6,361.4386","","","",""
