"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BTN","","","",""
"2011-12-31","46.5560",,,,
"2010-12-31","45.6771",,,,
"2009-12-31","48.3319",,,,
"2008-12-31","43.3726",,,,
"2007-12-31","43.9465",,,,
"2006-12-31","44.2949",,,,
"2005-12-31","45.0356",,,,
"2004-12-31","45.2530",,,,
"2003-12-31","46.5674",,,,
"2002-12-31","48.2857",,,,
"2001-12-31","46.9530",,,,
"2000-12-31","45.2248",,,,
"1999-12-31","42.9935",,,,
"1998-12-31","41.3456",,,,
"1997-12-31","36.1415",,,,
"1996-12-31","35.7885",,,,
"1995-12-31","32.7532",,,,
""
"Period Average","43.4424","","","",""
"Period Low","32.7532","","","",""
"Period High","48.3319","","","",""
