"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/SLL","","","",""
"2011-12-31","4,288.2004",,,,
"2010-12-31","3,911.6226",,,,
"2009-12-31","3,343.7270",,,,
"2008-12-31","2,948.3837",,,,
"2007-12-31","2,757.3759",,,,
"2006-12-31","2,350.0000",,,,
"2005-12-31","2,355.6767",,,,
"2004-12-31","2,463.4481",,,,
"2003-12-31","2,288.4351",,,,
"2002-12-31","1,961.7797",,,,
"2001-12-31","1,890.0274",,,,
"2000-12-31","698.9278",,,,
"1999-12-31","897.1721",,,,
"1998-12-31","903.0479",,,,
"1997-12-31","784.0082",,,,
"1996-12-31","683.3197",,,,
"1995-12-31","614.6877",,,,
""
"Period Average","2,067.0494","","","",""
"Period Low","614.6877","","","",""
"Period High","4,288.2004","","","",""
