"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/AOA","","","",""
"2011-12-31","93.5442",,,,
"2010-12-31","91.6637",,,,
"2009-12-31","77.7667",,,,
"2008-12-31","74.7840",,,,
"2007-12-31","77.1881",,,,
"2006-12-31","86.6359",,,,
"2005-12-31","74.5447",,,,
"2004-12-31","57.1198",,,,
"2003-12-31","57.1198",,,,
"2002-12-31","32.3958",,,,
"2001-12-31","11.4591",,,,
"2000-12-31","5.8758",,,,
"1999-12-31","193,139.6352",,,,
"1998-12-31","196,916.0000",,,,
"1997-12-31","123,023.8877",,,,
"1996-12-31","5,635.0000",,,,
"1995-12-31","453,417.5455",,,,
""
"Period Average","57,227.7745","","","",""
"Period Low","5.8758","","","",""
"Period High","453,417.5455","","","",""
