"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/KZT","","","",""
"2011-12-31","144.5638",,,,
"2010-12-31","145.2533",,,,
"2009-12-31","145.4759",,,,
"2008-12-31","118.2801",,,,
"2007-12-31","119.1312",,,,
"2006-12-31","121.4586",,,,
"2005-12-31","131.6033",,,,
"2004-12-31","131.1506",,,,
"2003-12-31","146.4432",,,,
"2002-12-31","149.9285",,,,
"2001-12-31","145.6720",,,,
"2000-12-31","142.1423",,,,
"1999-12-31","119.5865",,,,
"1998-12-31","78.5567",,,,
"1997-12-31","75.5544",,,,
"1996-12-31","67.7728",,,,
"1995-12-31","63.4559",,,,
""
"Period Average","120.3546","","","",""
"Period Low","63.4559","","","",""
"Period High","149.9285","","","",""
