"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/DEM","","","",""
"2011-12-31","1.6760",,,,
"2010-12-31","1.6760",,,,
"2009-12-31","1.6760",,,,
"2008-12-31","1.6760",,,,
"2007-12-31","1.6760",,,,
"2006-12-31","1.6760",,,,
"2005-12-31","1.6760",,,,
"2004-12-31","1.6760",,,,
"2003-12-31","1.6760",,,,
"2002-12-31","1.6760",,,,
"2001-12-31","1.6760",,,,
"2000-12-31","1.6760",,,,
"1999-12-31","1.6760",,,,
"1998-12-31","1.7590",,,,
"1997-12-31","1.7329",,,,
"1996-12-31","1.5044",,,,
"1995-12-31","1.4322",,,,
""
"Period Average","1.6598","","","",""
"Period Low","1.4322","","","",""
"Period High","1.7590","","","",""
