"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CLP","","","",""
"2011-12-31","481.5800",,,,
"2010-12-31","501.1327",,,,
"2009-12-31","549.7992",,,,
"2008-12-31","521.1344",,,,
"2007-12-31","522.0258",,,,
"2006-12-31","521.2233",,,,
"2005-12-31","557.5980",,,,
"2004-12-31","597.2590",,,,
"2003-12-31","682.2275",,,,
"2002-12-31","672.1510",,,,
"2001-12-31","628.7026",,,,
"2000-12-31","539.3483",,,,
"1999-12-31","508.7882",,,,
"1998-12-31","460.1411",,,,
"1997-12-31","419.1524",,,,
"1996-12-31","412.0273",,,,
"1995-12-31","396.4869",,,,
""
"Period Average","527.6928","","","",""
"Period Low","396.4869","","","",""
"Period High","682.2275","","","",""
