"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/HKD","","","",""
"2011-12-31","7.7839",,,,
"2010-12-31","7.7682",,,,
"2009-12-31","7.7511",,,,
"2008-12-31","7.7861",,,,
"2007-12-31","7.8013",,,,
"2006-12-31","7.7678",,,,
"2005-12-31","7.7766",,,,
"2004-12-31","7.7876",,,,
"2003-12-31","7.7852",,,,
"2002-12-31","7.7979",,,,
"2001-12-31","7.7993",,,,
"2000-12-31","7.7918",,,,
"1999-12-31","7.7586",,,,
"1998-12-31","7.7457",,,,
"1997-12-31","7.7420",,,,
"1996-12-31","7.7339",,,,
"1995-12-31","7.7352",,,,
""
"Period Average","7.7713","","","",""
"Period Low","7.7339","","","",""
"Period High","7.8013","","","",""
