"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TWD","","","",""
"2011-12-31","29.2632",,,,
"2010-12-31","31.5154",,,,
"2009-12-31","33.0082",,,,
"2008-12-31","31.5304",,,,
"2007-12-31","32.8574",,,,
"2006-12-31","32.5204",,,,
"2005-12-31","32.1050",,,,
"2004-12-31","33.3923",,,,
"2003-12-31","34.4460",,,,
"2002-12-31","34.5317",,,,
"2001-12-31","33.6003",,,,
"2000-12-31","31.1571",,,,
"1999-12-31","32.2236",,,,
"1998-12-31","33.4291",,,,
"1997-12-31","28.6865",,,,
"1996-12-31","27.4522",,,,
"1995-12-31","26.4823",,,,
""
"Period Average","31.6589","","","",""
"Period Low","26.4823","","","",""
"Period High","34.5317","","","",""
