"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/RSD","","","",""
"2011-12-31","72.9352",,,,
"2010-12-31","77.3689",,,,
"2009-12-31","67.1843",,,,
"2008-12-31","55.3163",,,,
"2007-12-31","56.8945",,,,
"2006-12-31","65.3839",,,,
"2005-12-31","66.9676",,,,
"2004-12-31","58.9607",,,,
"2003-12-31","57.6793",,,,
"2002-12-31","63.5288",,,,
"2001-12-31","48.3081",,,,
"2000-12-31","11.6095",,,,
"1999-12-31","10.9191",,,,
"1998-12-31","8.9899",,,,
"1997-12-31","4.9991",,,,
"1996-12-31","4.9215",,,,
"1995-12-31","1.6653",,,,
""
"Period Average","43.1548","","","",""
"Period Low","1.6653","","","",""
"Period High","77.3689","","","",""
