"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/DKK","","","",""
"2011-12-31","5.3552",,,,
"2010-12-31","5.6206",,,,
"2009-12-31","5.3540",,,,
"2008-12-31","5.0934",,,,
"2007-12-31","5.4429",,,,
"2006-12-31","5.9426",,,,
"2005-12-31","5.9932",,,,
"2004-12-31","5.9877",,,,
"2003-12-31","6.5760",,,,
"2002-12-31","7.8813",,,,
"2001-12-31","8.3203",,,,
"2000-12-31","8.0845",,,,
"1999-12-31","6.9799",,,,
"1998-12-31","6.6987",,,,
"1997-12-31","6.6015",,,,
"1996-12-31","5.7976",,,,
"1995-12-31","5.6022",,,,
""
"Period Average","6.3136","","","",""
"Period Low","5.0934","","","",""
"Period High","8.3203","","","",""
