"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BIF","","","",""
"2011-12-31","1,217.6144",,,,
"2010-12-31","1,209.0383",,,,
"2009-12-31","1,201.3083",,,,
"2008-12-31","1,155.1335",,,,
"2007-12-31","1,049.7800",,,,
"2006-12-31","949.8808",,,,
"2005-12-31","1,014.2664",,,,
"2004-12-31","1,053.0276",,,,
"2003-12-31","1,030.0463",,,,
"2002-12-31","888.0025",,,,
"2001-12-31","800.3412",,,,
"2000-12-31","676.1286",,,,
"1999-12-31","441.3697",,,,
"1998-12-31","369.2459",,,,
"1997-12-31","320.3700",,,,
"1996-12-31","299.4769",,,,
"1995-12-31","248.6326",,,,
""
"Period Average","819.0390","","","",""
"Period Low","248.6326","","","",""
"Period High","1,217.6144","","","",""
