"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/ZWD","","","",""
"2011-12-31","373",,,,
"2010-12-31","372",,,,
"2009-12-31","21,816,390",,,,
"2008-12-31","2,621,984,228",,,,
"2007-12-31","9,085",,,,
"2006-12-31","58,153",,,,
"2005-12-31","21,513",,,,
"2004-12-31","4,498",,,,
"2003-12-31","576",,,,
"2002-12-31","53",,,,
"2001-12-31","55",,,,
"2000-12-31","44",,,,
"1999-12-31","38",,,,
"1998-12-31","24",,,,
"1997-12-31","12",,,,
"1996-12-31","10",,,,
"1995-12-31","9",,,,
""
"Period Average","155,523,261","","","",""
"Period Low","9","","","",""
"Period High","2,621,984,228","","","",""
