"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TOP","","","",""
"2011-12-31","1.7509",,,,
"2010-12-31","1.9172",,,,
"2009-12-31","1.9889",,,,
"2008-12-31","2.0408",,,,
"2007-12-31","2.0408",,,,
"2006-12-31","2.0401",,,,
"2005-12-31","1.9370",,,,
"2004-12-31","1.9808",,,,
"2003-12-31","2.1382",,,,
"2002-12-31","2.1783",,,,
"2001-12-31","2.1226",,,,
"2000-12-31","1.7491",,,,
"1999-12-31","1.5073",,,,
"1998-12-31","1.4517",,,,
"1997-12-31","1.2596",,,,
"1996-12-31","1.2285",,,,
"1995-12-31","1.3412",,,,
""
"Period Average","1.8043","","","",""
"Period Low","1.2285","","","",""
"Period High","2.1783","","","",""
