"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MMK","","","",""
"2011-12-31","6.3158",,,,
"2010-12-31","6.3136",,,,
"2009-12-31","6.3177",,,,
"2008-12-31","6.3240",,,,
"2007-12-31","6.2420",,,,
"2006-12-31","6.1401",,,,
"2005-12-31","6.2294",,,,
"2004-12-31","6.2542",,,,
"2003-12-31","6.2440",,,,
"2002-12-31","6.5957",,,,
"2001-12-31","6.6660",,,,
"2000-12-31","4.8559",,,,
"1999-12-31","6.1178",,,,
"1998-12-31","6.2517",,,,
"1997-12-31","6.2212",,,,
"1996-12-31","5.8722",,,,
"1995-12-31","5.4539",,,,
""
"Period Average","6.1421","","","",""
"Period Low","4.8559","","","",""
"Period High","6.6660","","","",""
