"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/LAK","","","",""
"2011-12-31","7,920.4252",,,,
"2010-12-31","8,131.0388",,,,
"2009-12-31","8,339.1940",,,,
"2008-12-31","8,577.4120",,,,
"2007-12-31","9,338.8801",,,,
"2006-12-31","9,659.9968",,,,
"2005-12-31","9,212.1594",,,,
"2004-12-31","7,620.3615",,,,
"2003-12-31","7,373.2000",,,,
"2002-12-31","7,280.4005",,,,
"2001-12-31","7,427.5248",,,,
"2000-12-31","7,516.7863",,,,
"1999-12-31","5,497.8082",,,,
"1998-12-31","2,469.5342",,,,
"1997-12-31","969.5726",,,,
"1996-12-31","920.0000",,,,
"1995-12-31","781.0909",,,,
""
"Period Average","6,413.8462","","","",""
"Period Low","781.0909","","","",""
"Period High","9,659.9968","","","",""
