"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/PKR","","","",""
"2011-12-31","85.6576",,,,
"2010-12-31","84.4302",,,,
"2009-12-31","81.3493",,,,
"2008-12-31","70.2383",,,,
"2007-12-31","60.5368",,,,
"2006-12-31","60.1297",,,,
"2005-12-31","59.4781",,,,
"2004-12-31","56.6508",,,,
"2003-12-31","55.7316",,,,
"2002-12-31","58.2714",,,,
"2001-12-31","61.1329",,,,
"2000-12-31","53.7791",,,,
"1999-12-31","51.3309",,,,
"1998-12-31","48.6359",,,,
"1997-12-31","41.0771",,,,
"1996-12-31","35.9984",,,,
"1995-12-31","31.6082",,,,
""
"Period Average","58.5904","","","",""
"Period Low","31.6082","","","",""
"Period High","85.6576","","","",""
