"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/HUF","","","",""
"2011-12-31","200.7219",,,,
"2010-12-31","207.7093",,,,
"2009-12-31","201.6182",,,,
"2008-12-31","171.8984",,,,
"2007-12-31","183.2653",,,,
"2006-12-31","210.0565",,,,
"2005-12-31","199.2132",,,,
"2004-12-31","202.3302",,,,
"2003-12-31","223.7678",,,,
"2002-12-31","257.3692",,,,
"2001-12-31","286.2230",,,,
"2000-12-31","282.6426",,,,
"1999-12-31","237.1893",,,,
"1998-12-31","214.3633",,,,
"1997-12-31","186.7967",,,,
"1996-12-31","149.3925",,,,
"1995-12-31","133.8918",,,,
""
"Period Average","208.7323","","","",""
"Period Low","133.8918","","","",""
"Period High","286.2230","","","",""
