"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/QAR","","","",""
"2011-12-31","3.6366",,,,
"2010-12-31","3.6333",,,,
"2009-12-31","3.6350",,,,
"2008-12-31","3.6332",,,,
"2007-12-31","3.6283",,,,
"2006-12-31","3.6235",,,,
"2005-12-31","3.6376",,,,
"2004-12-31","3.6381",,,,
"2003-12-31","3.6374",,,,
"2002-12-31","3.6372",,,,
"2001-12-31","3.6272",,,,
"2000-12-31","3.6399",,,,
"1999-12-31","3.6403",,,,
"1998-12-31","3.6401",,,,
"1997-12-31","3.6400",,,,
"1996-12-31","3.6399",,,,
"1995-12-31","3.6394",,,,
""
"Period Average","3.6357","","","",""
"Period Low","3.6235","","","",""
"Period High","3.6403","","","",""
