"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/TRY","","","",""
"2011-12-31","1.6774",,,,
"2010-12-31","1.5054",,,,
"2009-12-31","1.5513",,,,
"2008-12-31","1.3019",,,,
"2007-12-31","1.3014",,,,
"2006-12-31","1.4303",,,,
"2005-12-31","1.3432",,,,
"2004-12-31","1.4087",,,,
"2003-12-31","1.4796",,,,
"2002-12-31","1.4872",,,,
"2001-12-31","1.2085",,,,
"2000-12-31","0.6240",,,,
"1999-12-31","0.4201",,,,
"1998-12-31","0.2619",,,,
"1997-12-31","0.1526",,,,
"1996-12-31","0.0817",,,,
"1995-12-31","0.0459",,,,
""
"Period Average","1.0165","","","",""
"Period Low","0.0459","","","",""
"Period High","1.6774","","","",""
