"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BND","","","",""
"2011-12-31","1.2397",,,,
"2010-12-31","1.3457",,,,
"2009-12-31","1.4366",,,,
"2008-12-31","1.3981",,,,
"2007-12-31","1.4865",,,,
"2006-12-31","1.5642",,,,
"2005-12-31","1.6476",,,,
"2004-12-31","1.6785",,,,
"2003-12-31","1.7349",,,,
"2002-12-31","1.7919",,,,
"2001-12-31","1.7801",,,,
"2000-12-31","1.7234",,,,
"1999-12-31","1.6940",,,,
"1998-12-31","1.6802",,,,
"1997-12-31","1.4761",,,,
"1996-12-31","1.4093",,,,
"1995-12-31","1.3999",,,,
""
"Period Average","1.5580","","","",""
"Period Low","1.2397","","","",""
"Period High","1.7919","","","",""
