"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/BGN","","","",""
"2011-12-31","1.4050",,,,
"2010-12-31","1.4751",,,,
"2009-12-31","1.4051",,,,
"2008-12-31","1.3347",,,,
"2007-12-31","1.4255",,,,
"2006-12-31","1.5511",,,,
"2005-12-31","1.5720",,,,
"2004-12-31","1.5730",,,,
"2003-12-31","1.7267",,,,
"2002-12-31","2.0695",,,,
"2001-12-31","2.1772",,,,
"2000-12-31","874.6438",,,,
"1999-12-31","1,846.8710",,,,
"1998-12-31","1,751.5957",,,,
"1997-12-31","1,636.0637",,,,
"1996-12-31","177.6302",,,,
"1995-12-31","69.6011",,,,
""
"Period Average","374.9483","","","",""
"Period Low","1.3347","","","",""
"Period High","1,846.8710","","","",""
