"Average annual BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/MVR","","","",""
"2011-12-31","14.2612",,,,
"2010-12-31","12.6184",,,,
"2009-12-31","12.6225",,,,
"2008-12-31","12.6367",,,,
"2007-12-31","12.6584",,,,
"2006-12-31","12.6052",,,,
"2005-12-31","12.7246",,,,
"2004-12-31","12.7423",,,,
"2003-12-31","12.6900",,,,
"2002-12-31","11.9448",,,,
"2001-12-31","11.7285",,,,
"2000-12-31","11.6249",,,,
"1999-12-31","11.4122",,,,
"1998-12-31","11.7700",,,,
"1997-12-31","11.7700",,,,
"1996-12-31","11.7700",,,,
"1995-12-31","14.2282",,,,
""
"Period Average","12.4593","","","",""
"Period Low","11.4122","","","",""
"Period High","14.2612","","","",""
